,raceId,year,round,circuitId,name,date,time,constructorStandingsId,constructorId,points,position,positionText,wins
0,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27582,210,0.0,10,10,0
1,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27581,9,0.0,9,9,0
2,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27580,3,0.0,8,8,0
3,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27579,51,2.0,7,7,0
4,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27578,4,4.0,6,6,0
5,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27577,213,6.0,5,5,0
6,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27576,211,8.0,4,4,0
7,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27575,1,26.0,2,2,0
8,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27574,6,19.0,3,3,0
9,1031,2020,1,70,Austrian Grand Prix,2020-07-05,13:10:00,27573,131,37.0,1,1,1
10,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27483,131,80.0,1,1,2
11,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27484,6,19.0,5,5,0
12,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27485,1,39.0,2,2,0
13,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27486,211,22.0,4,4,0
14,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27487,213,7.0,7,7,0
15,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27488,4,8.0,6,6,0
16,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27489,51,2.0,8,8,0
17,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27490,3,0.0,9,9,0
18,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27491,9,27.0,3,3,0
19,1032,2020,2,70,Styrian Grand Prix,2020-07-12,13:10:00,27492,210,0.0,10,10,0
20,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27511,9,55.0,2,2,0
21,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27510,3,0.0,10,10,0
22,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27508,4,12.0,6,6,0
23,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27507,213,7.0,7,7,0
24,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27506,211,40.0,4,4,0
25,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27504,6,27.0,5,5,0
26,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27505,1,41.0,3,3,0
27,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27512,210,1.0,9,9,0
28,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27509,51,2.0,8,8,0
29,1033,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,27503,131,121.0,1,1,3
30,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27522,210,1.0,9,9,0
31,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27521,9,78.0,2,2,0
32,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27520,3,0.0,10,10,0
33,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27519,51,2.0,8,8,0
34,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27518,4,32.0,6,6,0
35,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27517,213,13.0,7,7,0
36,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27516,211,42.0,5,5,0
37,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27515,1,51.0,3,3,0
38,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27514,6,43.0,4,4,0
39,1034,2020,4,9,British Grand Prix,2020-08-02,13:10:00,27513,131,146.0,1,1,4
40,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27523,131,180.0,1,1,4
41,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27524,6,55.0,3,3,0
42,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27525,1,53.0,4,4,0
43,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27526,211,41.0,5,5,0
44,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27527,213,14.0,7,7,0
45,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27528,4,36.0,6,6,0
46,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27529,51,2.0,8,8,0
47,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27530,3,0.0,10,10,0
48,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27531,9,113.0,2,2,1
49,1035,2020,5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,27532,210,1.0,9,9,0
50,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27533,131,221.0,1,1,5
51,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27534,6,61.0,5,5,0
52,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27535,1,62.0,4,4,0
53,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27536,211,63.0,3,3,0
54,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27537,213,16.0,7,7,0
55,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27538,4,36.0,6,6,0
56,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27539,51,2.0,8,8,0
57,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27540,3,0.0,10,10,0
58,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27541,9,135.0,2,2,1
59,1036,2020,6,4,Spanish Grand Prix,2020-08-16,13:10:00,27542,210,1.0,9,9,0
60,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27543,131,264.0,1,1,6
61,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27544,6,61.0,5,5,0
62,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27545,1,68.0,3,3,0
63,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27546,211,66.0,4,4,0
64,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27547,213,20.0,7,7,0
65,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27548,4,59.0,6,6,0
66,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27549,51,2.0,8,8,0
67,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27550,3,0.0,10,10,0
68,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27551,9,158.0,2,2,1
69,1037,2020,7,13,Belgian Grand Prix,2020-08-30,13:10:00,27552,210,1.0,9,9,0
70,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27553,131,281.0,1,1,6
71,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27554,6,61.0,6,6,0
72,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27555,1,98.0,3,3,0
73,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27556,211,82.0,4,4,0
74,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27557,213,47.0,7,7,1
75,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27558,4,71.0,5,5,0
76,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27559,51,2.0,8,8,0
77,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27560,3,0.0,10,10,0
78,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27561,9,158.0,2,2,1
79,1038,2020,8,14,Italian Grand Prix,2020-09-06,13:10:00,27562,210,1.0,9,9,0
80,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27563,131,325.0,1,1,7
81,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27564,6,66.0,6,6,0
82,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27565,1,106.0,3,3,0
83,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27566,211,92.0,4,4,0
84,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27567,213,53.0,7,7,1
85,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27568,4,83.0,5,5,0
86,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27569,51,4.0,8,8,0
87,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27570,3,0.0,10,10,0
88,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27571,9,173.0,2,2,1
89,1039,2020,9,76,Tuscan Grand Prix,2020-09-13,13:10:00,27572,210,1.0,9,9,0
90,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27583,131,366.0,1,1,8
91,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27584,6,74.0,6,6,0
92,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27585,1,106.0,3,3,0
93,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27586,211,104.0,4,4,0
94,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27587,213,59.0,7,7,1
95,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27588,4,99.0,5,5,0
96,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27589,51,4.0,8,8,0
97,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27590,3,0.0,10,10,0
98,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27591,9,192.0,2,2,1
99,1040,2020,10,71,Russian Grand Prix,2020-09-27,11:10:00,27592,210,1.0,9,9,0
100,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27593,131,391.0,1,1,9
101,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27594,6,80.0,6,6,0
102,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27595,1,116.0,4,4,0
103,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27596,211,120.0,3,3,0
104,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27597,213,67.0,7,7,1
105,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27598,4,114.0,5,5,0
106,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27599,51,5.0,8,8,0
107,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27600,3,0.0,10,10,0
108,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27601,9,211.0,2,2,1
109,1041,2020,11,20,Eifel Grand Prix,2020-10-11,13:10:00,27602,210,3.0,9,9,0
110,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27603,131,435.0,1,1,10
111,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27604,6,93.0,6,6,0
112,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27605,1,124.0,4,4,0
113,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27606,211,126.0,3,3,0
114,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27607,213,77.0,7,7,1
115,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27608,4,120.0,5,5,0
116,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27609,51,5.0,8,8,0
117,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27610,3,0.0,10,10,0
118,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27611,9,226.0,2,2,1
119,1042,2020,12,75,Portuguese Grand Prix,2020-10-25,12:10:00,27612,210,3.0,9,9,0
120,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27613,131,479.0,1,1,11
121,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27614,6,103.0,6,6,0
122,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27615,1,134.0,4,4,0
123,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27616,211,134.0,5,5,0
124,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27617,213,89.0,7,7,1
125,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27618,4,135.0,3,3,0
126,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27619,51,8.0,8,8,0
127,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27620,3,0.0,10,10,0
128,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27621,9,226.0,2,2,1
129,1043,2020,13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,27622,210,3.0,9,9,0
130,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27623,131,504.0,1,1,12
131,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27624,6,130.0,6,6,0
132,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27625,1,149.0,4,4,0
133,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27626,211,154.0,3,3,0
134,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27627,213,89.0,7,7,1
135,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27628,4,136.0,5,5,0
136,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27629,51,8.0,8,8,0
137,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27630,3,0.0,10,10,0
138,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27631,9,240.0,2,2,1
139,1044,2020,14,5,Turkish Grand Prix,2020-11-15,10:10:00,27632,210,3.0,9,9,0
140,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27633,131,533.0,1,1,13
141,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27634,6,131.0,6,6,0
142,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27635,1,171.0,3,3,0
143,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27636,211,154.0,4,4,0
144,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27637,213,97.0,7,7,1
145,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27638,4,144.0,5,5,0
146,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27639,51,8.0,8,8,0
147,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27640,3,0.0,10,10,0
148,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27641,9,274.0,2,2,1
149,1045,2020,15,3,Bahrain Grand Prix,2020-11-29,14:10:00,27642,210,3.0,9,9,0
150,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27643,131,540.0,1,1,13
151,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27644,6,131.0,6,6,0
152,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27645,1,184.0,4,4,0
153,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27646,211,194.0,3,3,1
154,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27647,213,103.0,7,7,1
155,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27648,4,172.0,5,5,0
156,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27649,51,8.0,8,8,0
157,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27650,3,0.0,10,10,0
158,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27651,9,282.0,2,2,1
159,1046,2020,16,3,Sakhir Grand Prix,2020-12-06,17:10:00,27652,210,3.0,9,9,0
160,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27653,131,573.0,1,1,13
161,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27654,6,131.0,6,6,0
162,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27655,1,202.0,3,3,0
163,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27656,211,195.0,4,4,1
164,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27657,213,107.0,7,7,1
165,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27658,4,181.0,5,5,0
166,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27659,51,8.0,8,8,0
167,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27660,3,0.0,10,10,0
168,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27661,9,319.0,2,2,2
169,1047,2020,17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,27662,210,3.0,9,9,0
